Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,6187.3,160,10727,83,313.11,34,291.11,5,12362.8,796,3,1.30918
vm25/01,3591.78,44,6516,20,146,6,146,2,7190.71,343,3,0.181942
vm25/02,3971.24,100,6943,60,190.359,27,188.041,8,7989.76,511,3,0.407189
vm25/03,1924.35,51,3334,29,103.512,14,103.512,5,3862.2,272,3,0.159664
vm25/04,3780.9,74,6596,40,194.881,12,194.881,2,7573.08,482,3,0.362315
vm25/05,3954.07,116,6894.5,67,187.293,19,183.207,7,7932.45,506,3,0.75778
vm25/06,2124.14,71,3624.5,38,135,16,135,2,4267.52,367,3,0.287638
vm25/07,2907.86,63,5221.5,36,139.272,14,133.893,7,5825.54,357,3,0.244966
vm25/08,3484.84,105,5889,50,221.333,15,220.23,7,6975.08,581,3,0.666573
vm25/09,2258.9,53,3959,25,122.86,11,117.328,7,4537.84,304,3,0.249377
vm25/10,5684.15,127,10075,71,265.401,26,263.317,6,11398.1,697,3,0.888062
vm25/11,5250.3,109,9203,52,264.387,27,262.387,5,10528.2,674,3,1.0079
vm25/12,1664.87,37,2944,16,69,9,69,1,3332.73,184,3,0.110573
vm25/13,625.56,18,1058,7,39,1,39,1,1268.28,101,3,0.0510204
vm25/14,2344.93,75,3996.5,35,152,15,149,7,4713.7,390,3,0.244898
vm25/15,2671.89,84,4511.5,40,155,18,155,4,5354.84,427,3,0.468061
vm25/16,3303.2,126,5643,75,206.251,27,205.648,5,6631.31,569,3,0.835825
vm25/17,1922.54,38,3427,17,82,3,82,2,3860.07,212,3,0.146142
vm25/18,2167.89,69,3773,39,117.519,16,116.084,5,4359.46,333,3,0.302674
vm25/19,2152.78,68,3746.5,36,121.641,18,121.382,5,4344,333,3,0.330993
vm25/20,2270.72,72,3924,40,130.847,14,129.468,5,4554.69,360,3,0.278206
vm25/21,2282.32,61,3900,35,119,10,118,3,4569.92,315,3,0.199844
vm25/22,2020.67,57,3476.5,26,115.493,13,113.945,5,4045.13,299,3,0.24626
vm25/23,3246.14,77,5655,36,181,21,181,7,6519.16,458,3,0.305641
vm25/24,2093.49,69,3504,36,134,14,122.568,7,4234.21,340,3,0.209379